Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,12.2192
Vertical Scale,0.001
Vertical Position,5
,
,
,
Label,
TIME,CH1
-4.546e-03,12.2131
-4.545e-03,12.2132
-4.544e-03,12.2133
-4.543e-03,12.2131
-4.542e-03,12.2134
-4.541e-03,12.2132
-4.540e-03,12.2132
-4.539e-03,12.213
-4.538e-03,12.2131
-4.537e-03,12.213
-4.536e-03,12.2132
-4.535e-03,12.2133
-4.534e-03,12.2131
-4.533e-03,12.213
-4.532e-03,12.213
-4.531e-03,12.2132
-4.530e-03,12.213
-4.529e-03,12.213
-4.528e-03,12.2129
-4.527e-03,12.2132
-4.526e-03,12.2132
-4.525e-03,12.2132
-4.524e-03,12.2128
-4.523e-03,12.213
-4.522e-03,12.213
-4.521e-03,12.2132
-4.520e-03,12.213
-4.519e-03,12.2132
-4.518e-03,12.2131
-4.517e-03,12.213
-4.516e-03,12.2131
-4.515e-03,12.2128
-4.514e-03,12.213
-4.513e-03,12.213
-4.512e-03,12.213
-4.511e-03,12.213
-4.510e-03,12.213
-4.509e-03,12.2132
-4.508e-03,12.2131
-4.507e-03,12.2131
-4.506e-03,12.213
-4.505e-03,12.213
-4.504e-03,12.2133
-4.503e-03,12.2132
-4.502e-03,12.2133
-4.501e-03,12.2132
-4.500e-03,12.2132
-4.499e-03,12.2134
-4.498e-03,12.2132
-4.497e-03,12.2132
-4.496e-03,12.2132
-4.495e-03,12.213
-4.494e-03,12.2133
-4.493e-03,12.2131
-4.492e-03,12.2132
-4.491e-03,12.2132
-4.490e-03,12.2132
-4.489e-03,12.2129
-4.488e-03,12.2133
-4.487e-03,12.2132
-4.486e-03,12.2132
-4.485e-03,12.2134
-4.484e-03,12.2134
-4.483e-03,12.2132
-4.482e-03,12.2133
-4.481e-03,12.2134
-4.480e-03,12.2133
-4.479e-03,12.2131
-4.478e-03,12.2132
-4.477e-03,12.213
-4.476e-03,12.2131
-4.475e-03,12.2132
-4.474e-03,12.2132
-4.473e-03,12.2133
-4.472e-03,12.213
-4.471e-03,12.2132
-4.470e-03,12.2131
-4.469e-03,12.2129
-4.468e-03,12.213
-4.467e-03,12.2131
-4.466e-03,12.2133
-4.465e-03,12.2131
-4.464e-03,12.2131
-4.463e-03,12.2132
-4.462e-03,12.213
-4.461e-03,12.2133
-4.460e-03,12.2132
-4.459e-03,12.2132
-4.458e-03,12.2134
-4.457e-03,12.2132
-4.456e-03,12.2131
-4.455e-03,12.2133
-4.454e-03,12.2133
-4.453e-03,12.213
-4.452e-03,12.2129
-4.451e-03,12.2132
-4.450e-03,12.2132
-4.449e-03,12.213
-4.448e-03,12.2132
-4.447e-03,12.2132
-4.446e-03,12.2131
-4.445e-03,12.2133
-4.444e-03,12.2131
-4.443e-03,12.2133
-4.442e-03,12.2133
-4.441e-03,12.2132
-4.440e-03,12.2131
-4.439e-03,12.2133
-4.438e-03,12.2132
-4.437e-03,12.2135
-4.436e-03,12.213
-4.435e-03,12.2131
-4.434e-03,12.2133
-4.433e-03,12.2132
-4.432e-03,12.2128
-4.431e-03,12.2128
-4.430e-03,12.213
-4.429e-03,12.213
-4.428e-03,12.2128
-4.427e-03,12.2129
-4.426e-03,12.213
-4.425e-03,12.213
-4.424e-03,12.2132
-4.423e-03,12.2131
-4.422e-03,12.2133
-4.421e-03,12.2132
-4.420e-03,12.2132
-4.419e-03,12.2132
-4.418e-03,12.2134
-4.417e-03,12.213
-4.416e-03,12.2134
-4.415e-03,12.213
-4.414e-03,12.2129
-4.413e-03,12.2127
-4.412e-03,12.2132
-4.411e-03,12.2131
-4.410e-03,12.213
-4.409e-03,12.2132
